Title of signal;Translated Title;Factor;Link;Source Date;Insights;Context;Implication;Organisations;Countries;Tags
Valmont to Acquire Remaining Shares of AgSense;;Competitors and Suppliers;http://www.valmont.com/news/valmont-to-acquire-remaining-shares-of-agsense;2020-01-02;Valmont Industries has entered into a definitive agreement to acquire the remaining 49% stake in AgSense for a purchase price of approximately USD 42 mn. The acquisition is expected to close later in January 2020. Operating results for AgSense have been included in the Company’s consolidated financial statements since a 51% stake was acquired in August 2014. AgSense’s remote management technology is a comprehensive offering of integrated, advanced irrigation technology solutions, connecting approximately 95,000 devices globally.;;;Valmont Industries,AgSense LLC;United States;Corporate M&A,Precision Technology
Level 2+ and Level 4: At CES, ZF highlights progression toward automated driving;;Competitors and Suppliers;https://press.zf.com/press/en/releases/release_14145.html;2020-01-06;"German engineering company ZF has scaled its autonomous and automated driving technology offering to meet a broad range of requirements. At 2020 CES the company is presenting the ZF coASSIST, its Level 2+ system, for the first time with safety and comfort functions known from the luxury class segment that can be achieved for inexpensive vehicle segments due to its price well under USD 1,000. ZF received a major order from an unnamed Asian car manufacturer to supply the coASSIST Level 2+ entry-level system for passenger cars from the end of 2020. In addition, ZF also offers more powerful Level 2+ systems such as ZF coDRIVE and ZF coPILOT. Based on the ZF ProAI supercomputer, ZF is currently developing the Electronic Control Unit (ECU) for a Level 4 system for an international commercial vehicle manufacturer. The market launch is scheduled for 2024/2025, https://bit.ly/2FvbAyp & https://bit.ly/2sLpLwE. Together with Microsoft, ZF intends to bring its software engineering processes, methods and solutions to the speed and quality of IT companies. ZF is leveraging Microsoft’s Azure cloud services and developer tools as well as the experience of the U.S. company in agile software development. In future, ZF aims to become a software-driven mobility services provider, https://bit.ly/2FtyplX. ZF has developed a new solution that incorporates digital intelligence into electric drives; I.E-Axle electric drive. The new and networked drive enables additional functions via a cloud connection and transmits data on the status and use of the drive as an IoT solution. The new drive will enter volume production with a German manufacturer of premium passenger cars, however ZF states that a range of other manufacturers may also profit from the new drive, https://bit.ly/380VCs3.";;;ZF Friedrichshafen AG,Microsoft Corporation;Germany,United States;Precision Technology,Product Launches,Alliances,Strategy,Alternative Engines
SPRAY ASSIST APP TO AID APPLICATION ON TARGET;;Competitors and Suppliers;https://sprayerdemo.uk/2020/01/06/spray-assist-app-to-aid-application-on-target/;2020-01-06;At LAMMA 2020 Syngenta is presenting a new app called Syngenta Spray Assist to help sprayer operators to select the most appropriate application techniques on-the-fly. The app links to live local weather data to analyse the factors that influence accurate application and potential risk of spray drift, including wind, rain or frost. It then suggests techniques to enable sprayer operators to mitigate risks or alter practices. The new app is part of an application suite developed within Syngenta’s New Farming Technologies initiative, https://bit.ly/36AFv47. Adama, an Israeli crop protection company and sister of Sygenta, and Tel Aviv University (TAU) launched a research and teaching program on active substance delivery and formulation. The study program will be taught at the Adama Center for Novel Crop Protection Delivery Systems at Tel Aviv University. Adama will also be investing in a research laboratory that will be established in the School of Chemistry, where the program's research and experiments will be carried out, https://bit.ly/3a8EvX6.;;;SYNGENTA AG,Adama Agricultural Solutions,Tel Aviv University;Israel,United Kingdom;Precision Technology,Digitalization,Sprayers,Alliances
KINZE MANUFACTURING AND AG LEADER TECHNOLOGY INTRODUCE NEW HIGH-SPEED PLANTING TECHNOLOGY;;Competitors and Suppliers;https://www.kinze.com/kinze-manufacturing-and-ag-leader-technology-introduce-new-high-speed-planting-technology;2020-01-07;"Kinze Manufacturing has developed a new high-speed meter and seed tube to provide row crop farmers with accurate seed placement at speeds up to 12 mph. Called ""True Speed"", the system was developed with support from Ag Leader Technology, which will market it as ""SureSpeed"". Both companies will distribute the technology through their dealer networks. The new system uses an electric meter and delivery tube that operate accurately. Kinze’s meter, and its unique orientation on the row unit, allows seed to move seamlessly between the meter and seed tube, resulting in high accuracy at planter speeds from 3 to 12 mph. Additionally, the meter eliminates the need for singulator adjustments, which allows for quick seed type changeover and the ability to handle a variety of corn and soybean seed shapes and sizes. The system design also allows for easy maintenance. True Speed is controlled by Kinze’s Blue Vantage display. It also features a comprehensive diagnostics screen, high-definition mapping and graphs, and a quick setup enabling farmers to go from turning on the display to planting in just three clicks. At the 2020 National Farm Machinery Show in February 2020 True Speed will be showcased for the first time while its introduction is planned for 2021. (SONEAN: The last time Kinze launched a new product was one year ago in January 2019 when the company presented the planter 4700, which is to be introduced to the market in 2020. The planter will be available in a 36 row 20 inch configurations with a 3-section frame and is and equipped with the Blue Vantage display, Blue Drive electric drive and True Depth down force, also available in True Speed technology, https://bit.ly/2N82mMy. See also the context for more details on Kinze such as its electronics startup, and some background on Agleader)";;"Kinze created its electronics startup called Kinze Electronics, which launched its first-ever commercial product in May 2019, the Blue Vantage system, available on the new Blue Vantage planter 4700. The system, which has a new tablet-based monitor and control mated to the new planter, offers “three-clicks-and-plant” setup and also has a health screen. All of these technologies are now also available in True Speed (https://bit.ly/2QA0O0f). 
Ag Leader (https://www.agleader.com/) is actually a provider of farm management and guidance and steering hardware and software. Although the company also manufactures planting components, the SureSpeed technology will be its first complete planter offering.";Kinze Manufacturing,Ag Leader Technology;United States;Product Launches,Implements,Precision Technology,Alliances
Lindsay and Farmers Edge Expand Digital Partnership to Connect Two Million Irrigated Acres by the End of 2021;;Competitors and Suppliers;https://www.farmersedge.ca/lindsay-and-farmers-edge-expand-digital-partnership-to-connect-two-million-irrigated-acres-by-the-end-of-2021/;2020-01-07;Lindsay Corporation and Farmers Edge announced a plan to connect and digitize two million irrigated acres by the end of 2021. The companies will integrate their digital platforms to provide the growers and dealer networks with a fully connected crop management solution. The expanded partnership will also focus on a collaboration in data science, machine learning, and AI-driven analytics to deliver precise water-based insights and predictive models.;;;Lindsay Corporation,Farmers Edge;Canada,United States;Alliances,Precision Technology
Intel’s Mobileye demoes autonomous car that navigates using cameras alone;;Competitors and Suppliers;https://venturebeat.com/2020/01/07/intels-mobileye-demos-autonomous-car-that-navigates-using-cameras-alone/;2020-01-07;At 2020 CES show in Las Vegas Intel showed an unedited video of its Mobileye autonomous car navigating the streets of Jerusalem for about 20 minutes with the help of 12 on-board cameras and no other sensors. The video showed the car navigating through four-way intersections with no traffic lights and changing lanes to weave into traffic and avoid pedestrians. According to Mobileye, Intel’s Israel-based autonomous driving unit, the technology can create 3D models from 2D camera images to better sense the environment using two of its latest autonomous driving EyeQ5 chips. The system can merge the information from its camera-only system with that from radar and lidar systems to use together on self-driving cars.;;;Intel Corporation,Mobileye;Israel,United States;Precision Technology
[CES 2020] Avec ses cobots autonomes, AgreenCulture veut encourager l`agro-écologie;[CES 2020] With its autonomous cobots, AgreenCulture wants to encourage agro-ecology;Competitors and Suppliers;https://www.usine-digitale.fr/article/ces-2020-avec-ses-cobots-autonomes-agreenculture-veut-encourager-l-agro-ecologie.N917294;2020-01-07;At CES 2020 the French startup AgreenCulture is exhibiting its agricultural robots, which the company will launch very soon. The robots have a 24-hour autonomy and are equipped with a hybrid diesel-electric engine. The real strength of the robots is said to be their autonomous guidance and positioning system. During experiments carried out with French manufacturer Kuhn, the robots have achieved a reduction of 70% in pesticides and 50% in fertilizers used. In 2019, AgreenCulture joined the 3DEXPERIENCE Lab of Dassault Systèmes, which now provides its software to the startup free-of-charge so that it can design the robots directly on Dassault’s platform. This move enabled the startup to reduce its R&D costs and time to market.;;;AgreenCulture,Kuhn (Bucher),DASSAULT SYSTÈMES S.A.;France,United States;Precision Technology,Product Launches,Alliances
Die Roboter kommen: BayWa präsentiert zur IGW 2020 KI-Lösungen für den Klimaschutz;The robots are coming: BayWa is presenting AI solutions for climate protection at IGW 2020;Intermediaries and customers;https://www.baywa.com/presseinformationen/die-roboter-kommen-baywa-praesentiert-zur-igw-2020-ki-losungen-fuer-den-klimaschutz.html#/;2020-01-07;At the International Green Week exhibition in Germany, in January 2020, BayWa will show two agricultural robots that mechanically control weeds, Naïo Technologies’ Oz and French Vitirover's solution. According to BayWa, these robots contribute among others to sustainable agriculture to their low weight. Other activities of BayWa at the exhibition will include the presentation of a drone service that controls pests biologically from the air and enjoys an increasing growth in Germany. According to BayWa, it is using drones to throw the eggs of the parasitic wasp, which is the natural enemy of the corn borer, a pest affecting Europe. BayWa and its subsidiaries FarmFacts and Vista will also explain how to plan the exact quantities of seed, fertilizer and water based on satellite data to apply those on the field using GPS. BayWa will also present its own climate strategy, including reduction targets for energy and emissions. BayWa says that it will cover 100% of its electricity needs from renewable energies. Being a member of the international RE100 initiative BayWa wants to be climate neutral in 2030. (SONEAN: before introducing the Oz robot in Germany itself, BayWa’s Dutch subsidiary Abemec and Austrian partner RWA had become Naïo’s importers in the Netherlands and Austria, respectively. See the context for more background and a new financing round by Naïo. In contrast to Naïo Technologies, Vitirover, https://www.vitirover.fr/ does not sell its robots but offer them in a “VAAS”, Vitirover as a Service, approach. Being “an older” startup compared to Naïo, the smaller and “in herds” acting robots are offered for services for high-voltage power stations and railways);;"The large Austrian John Deere dealer RWA Raiffeisen Ware Austria, which is half-owned by BayWa and has a strategic cooperation with the German cooperative, introduced Naïo’s Oz and Dino into its portfolio in 2019 after testing the robot throughout 2018 (https://bit.ly/39U7gXA). Then, in March 2019 Abemec, BayWa’s Dutch subsidiary and a dealer of Fendt and Massey Ferguson, became also a dealer of Naïo Technologies (https://bit.ly/2FuvXvo). 
After a first round of funding of EUR 3 mn in 2015, Naïo Technologies, announced a new fundraising of EUR 14 mn. With this new funding, Naïo will continue its work on autonomous robots and the international development of the company, especially in the United States where the French startup aims to open a new facility in 2020 (https://bit.ly/2smh3oj).";BayWa AG,NAIO Technologies,Vitirover SAS;Austria,Germany,France,Netherlands,United States;Market Entry,Alliances,Precision Technology,Service,Strategy,Corporate Finance,Capacity Increase
Vantage Agrometius en AgroVision werken samen;Vantage Agrometius and AgroVision work together;Intermediaries and customers;https://www.boerderij.nl/Mechanisatie/Nieuws/2020/1/Vantage-Agrometius-en-AgroVision-werken-samen-522441E/;2020-01-07;Vantage Agrometius, Royal Reesink’s subsidiary that sells various precision farming solutions, and AgroVision (https://www.agrovision.com/), a Dutch software solutions provider for agriculture, are entering into a partnership. The new collaboration concerns AgroVision’s CropVision solution, which is a system for crop registration and crop protection advice. With the collaboration the customers using Vantage Agrometius GeoBas weather stations will register their data to the system in an easier and faster way, limiting the manual input work.;;;Vantage Agrometius,Royal Reesink BV,AgroVision;Netherlands;Alliances,Precision Technology
COMPANY RESTRUCTURE: HORIZON AGRICULTURE® – THE TRADING NAME OF SLY AGRI LTD;;Intermediaries and customers;http://horizonagriculture.com/welcome-to-cloudways/;2020-01-07;After the French manufacturer Agrisem entered in 2019 into an exclusive partnership with Sly France, the French arm of British Sly Agri, for the production and marketing of all Sly products under the Agrisem brand, Sly Agri is now rebranding as Horizon Agriculture and moving its production of its drills and cultivators from France to the UK. Sly has now developed a new range of products, including re-engineered no-till and minimum-tillage drills, which are due to be launched at the end of January 2020. Precision Planting is now also being sold from Horizon’s base in Spalding, Lincolnshire alongside Traxxis rubber tracks.;;;Horizon Agriculture (Sly Agri),Sly Agri Ltd,SLY france SAS,Agrisem International S.A.S.,Precision Planting LLC,Traxxis;France,United Kingdom;Strategy,Implements,Product Launches,Alliances,Precision Technology
